TOPICO,PRIORIDADE,STATUS,DATA_INICIO,DATA_CONCLUSAO,REV_1,REV_2,REV_3,REV_4,REV_5,FLASHCARDS,QUESTOES_FEITAS,TAXA_ACERTO,PROXIMA_REVISAO,OBSERVACOES
"45. Desenvolvimento Web - CSS3",ALTA,Não iniciado,,,,,,,,,0,0%,,"Estilização avançada"
"46. Desenvolvimento Web - Angular",ALTA,Não iniciado,,,,,,,,,0,0%,,"Framework front-end"
"47. Desenvolvimento Web - React",ALTA,Não iniciado,,,,,,,,,0,0%,,"Biblioteca front-end"
"48. Desenvolvimento Web - Node.js",ALTA,Não iniciado,,,,,,,,,0,0%,,"JavaScript back-end"
"49. Desenvolvimento Web - Integração de Sistemas",ALTA,Não iniciado,,,,,,,,,0,0%,,"APIs e integrações"
"50. Governança - ITIL v4",ALTA,Não iniciado,,,,,,,,,0,0%,,"Gestão de serviços de TI"
"51. Governança - COBIT 2019",ALTA,Não iniciado,,,,,,,,,0,0%,,"Governança corporativa de TI"
"52. Governança - Service Desk",ALTA,Não iniciado,,,,,,,,,0,0%,,"Central de serviços"
"53. Segurança da Informação - Princípios",MEDIA,Não iniciado,,,,,,,,,0,0%,,"CIA + autenticidade + irretratabilidade"
"54. Segurança da Informação - Malwares",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Tipos e proteção"
"55. Segurança da Informação - Backup",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Estratégias e plano de contingência"
"56. Segurança da Informação - Criptografia",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Conceitos e aplicações"
"57. Segurança da Informação - ISO 27001:2024",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Sistema de gestão de segurança"
"58. Segurança da Informação - ISO 27002:2022",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Controles de segurança"
"59. Computação em Nuvem - Conceitos",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Fundamentos de cloud"
"60. Computação em Nuvem - IaaS/PaaS/SaaS",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Modelos de serviço"
"61. Computação em Nuvem - Tipos de Nuvem",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Pública, privada e híbrida"
"62. Computação em Nuvem - Segurança",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Segurança em cloud"
"63. Atendimento e Suporte - Boas Práticas",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Atendimento técnico"
"64. Atendimento e Suporte - Chamados",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Registro e classificação"
"65. Atendimento e Suporte - Níveis de Suporte",MEDIA,Não iniciado,,,,,,,,,0,0%,,"1º e 2º nível"
"66. Atendimento e Suporte - Ativos de TI",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Inventário e controle"
"67. Redes - TCP/IP",MEDIA,Não iniciado,,,,,,,,,0,0%,,"IPv4 e IPv6"
"68. Redes - Endereçamento IP",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Configuração e diagnóstico"
"69. Redes - Equipamentos",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Cabeamento e dispositivos"
"70. Redes - Redes Sem Fio",MEDIA,Não iniciado,,,,,,,,,0,0%,,"Wi-Fi e segurança"
"71. Internet e E-mail - HTTP/HTTPS",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Protocolos web"
"72. Internet e E-mail - Segurança",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Phishing, spam e links maliciosos"
"73. Inteligência Artificial - Conceitos",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Aplicações e limitações"
"74. Inteligência Artificial - LLM",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Large Language Models"
"75. Inteligência Artificial - Agentes",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Agentes inteligentes"
"76. Inteligência Artificial - IA em Software",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"IA no ciclo de vida de software"
"77. Comunicação Técnica",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Relatórios e pareceres"
"78. Inglês Técnico",COMPLEMENTAR,Não iniciado,,,,,,,,,0,0%,,"Leitura técnica em inglês"
